user_id,gender,age,occupation,zipcode,age_desc,occ_desc
131,M,18,4,6520,18-24,college
132,M,25,17,99709,25-34,technician
133,F,25,0,55071,25-34,other or not specified
134,M,25,0,66212,25-34,other or not specified
135,M,18,4,20006,18-24,college
136,M,18,2,21202,18-24,artist
137,F,45,6,78758,45-49,doctor
138,M,18,20,22203,18-24,writer
139,F,25,20,45409,25-34,writer
140,F,35,1,55107,35-44,academic
141,M,35,13,62035,35-44,retired
142,M,25,7,10011,25-34,executive
143,M,18,3,64043,18-24,clerical
144,M,25,17,29401,25-34,technician
145,M,18,4,19081,18-24,college
146,F,35,20,10954,35-44,writer
147,M,18,4,91360,18-24,college
148,M,50,17,57747,50-55,technician
149,M,25,1,29205,25-34,academic
150,M,35,7,98144,35-44,executive
151,F,25,20,85013,25-34,writer
152,M,18,4,48104,18-24,college
153,M,1,10,51537,Under 18,K-12 student
154,M,50,20,94530,50-55,writer
155,M,35,12,7470,35-44,programmer
156,F,45,7,14519,45-49,executive
157,M,35,16,12866,35-44,self-employed
158,M,56,7,28754,56+,executive
159,F,45,0,37922,45-49,other or not specified
160,M,35,7,13021,35-44,executive
161,M,45,16,98107-2117,45-49,self-employed
162,F,18,4,93117,18-24,college
163,M,18,4,85013,18-24,college
164,F,56,13,94566,56+,retired
165,M,18,16,98502,18-24,self-employed
166,M,18,4,92802,18-24,college
167,F,25,11,10022,25-34,lawyer
168,F,50,0,46970,50-55,other or not specified
169,M,25,7,55439,25-34,executive
170,M,25,11,7002,25-34,lawyer
171,F,50,17,55441,50-55,technician
172,M,25,3,7661,25-34,clerical
173,M,25,0,45237,25-34,other or not specified
174,M,25,16,21203,25-34,self-employed
175,F,25,2,95123,25-34,artist
176,F,18,3,55016,18-24,clerical
177,M,50,1,54016,50-55,academic
178,M,56,17,53705,56+,technician
179,M,25,0,2135,25-34,other or not specified
180,M,45,12,1603,45-49,programmer
181,M,18,17,33186,18-24,technician
182,M,18,4,3052,18-24,college
183,F,45,1,55407,45-49,academic
184,F,25,0,19001,25-34,other or not specified
185,M,45,0,14468,45-49,other or not specified
186,M,18,5,91767,18-24,customer service
187,F,45,1,94061,45-49,academic
188,M,56,16,79930,56+,self-employed
189,M,18,0,60076,18-24,other or not specified
190,M,25,17,55125,25-34,technician
191,M,18,4,4915,18-24,college
192,M,18,1,10977,18-24,academic
193,F,45,15,44106,45-49,scientist
194,F,1,10,29146,Under 18,K-12 student
195,M,25,12,10458,25-34,programmer
196,F,35,9,94587,35-44,homemaker
197,M,18,14,10023,18-24,sales
198,M,25,12,55108,25-34,programmer
199,M,18,4,83706,18-24,college
200,F,18,4,84321,18-24,college
201,F,35,2,55117,35-44,artist
202,M,18,4,53706,18-24,college
203,F,18,4,53715,18-24,college
204,M,25,7,92123,25-34,executive
205,M,35,12,97333,35-44,programmer
206,M,25,17,20194,25-34,technician
207,M,25,12,94115,25-34,programmer
208,M,35,17,55432,35-44,technician
209,M,35,1,90048,35-44,academic
210,F,1,10,25801,Under 18,K-12 student
211,M,45,17,90620,45-49,technician
212,M,25,16,53714,25-34,self-employed
213,F,18,4,1609,18-24,college
214,M,18,20,80218,18-24,writer
215,M,35,14,92075,35-44,sales
216,M,45,13,52761,45-49,retired
217,M,18,4,22903,18-24,college
218,M,35,14,95822,35-44,sales
219,F,25,4,55113,25-34,college
220,M,25,12,22903,25-34,programmer
221,F,25,0,94063,25-34,other or not specified
222,M,25,1,55116,25-34,academic
223,M,25,17,28262,25-34,technician
224,F,18,4,14850,18-24,college
225,M,25,7,11215,25-34,executive
226,M,35,1,94518,35-44,academic
227,M,35,20,90291,35-44,writer
228,M,25,15,55455,25-34,scientist
229,M,18,10,4576,18-24,K-12 student
230,M,45,1,43210,45-49,academic
231,M,25,3,55455,25-34,clerical
232,M,25,20,55408,25-34,writer
233,F,45,20,37919-4204,45-49,writer
234,M,35,7,39652,35-44,executive
235,M,25,0,98153,25-34,other or not specified
236,M,25,5,55126,25-34,customer service
237,M,25,6,46835,25-34,doctor
238,F,50,7,90291,50-55,executive
239,M,18,19,94618,18-24,unemployed
240,M,50,17,55113,50-55,technician
241,M,35,20,55121,35-44,writer
242,F,18,4,53706,18-24,college
243,M,25,16,11576,25-34,self-employed
244,M,50,7,19072,50-55,executive
245,M,35,16,66046,35-44,self-employed
246,F,18,4,60625,18-24,college
247,M,25,17,94404,25-34,technician
248,M,18,17,72703,18-24,technician
249,F,18,14,48126,18-24,sales
250,M,35,16,11229,35-44,self-employed
251,M,56,17,55105,56+,technician
252,M,25,12,94112,25-34,programmer
253,F,25,11,97370,25-34,lawyer
254,M,35,17,49015,35-44,technician
255,M,35,0,85310,35-44,other or not specified
256,M,45,16,55076,45-49,self-employed
257,M,18,18,55113,18-24,tradesman
258,M,25,7,55436,25-34,executive
259,M,25,1,60615,25-34,academic
260,M,18,19,98126,18-24,unemployed
261,M,25,20,75801,25-34,writer
262,F,25,1,68503,25-34,academic
263,F,25,7,22304,25-34,executive
264,M,35,0,20755,35-44,other or not specified
265,F,35,7,55116,35-44,executive
266,M,35,11,75229,35-44,lawyer
267,M,45,12,55001,45-49,programmer
268,F,18,12,29708,18-24,programmer
269,M,25,2,55408,25-34,artist
270,M,50,14,55414,50-55,sales
271,M,18,4,48202,18-24,college
272,M,18,0,80302,18-24,other or not specified
273,M,18,4,55427,18-24,college
274,M,18,4,55455,18-24,college
275,M,25,0,48162,25-34,other or not specified
276,M,45,16,1982,45-49,self-employed
277,F,35,1,98126,35-44,academic
278,M,45,18,60482,45-49,tradesman
279,M,25,14,91214,25-34,sales
280,M,50,7,19118,50-55,executive
281,F,35,0,94117,35-44,other or not specified
282,M,25,17,94401,25-34,technician
283,M,25,0,10003,25-34,other or not specified
284,M,25,12,91910,25-34,programmer
285,F,35,0,94109,35-44,other or not specified
286,M,25,1,54601,25-34,academic
287,M,50,13,94706,50-55,retired
288,F,25,12,97119,25-34,programmer
289,F,25,0,11801,25-34,other or not specified
290,F,25,20,94591,25-34,writer
291,M,35,12,55110,35-44,programmer
292,M,35,7,19406,35-44,executive
293,M,56,1,55337-4056,56+,academic
294,F,45,9,43147,45-49,homemaker
295,M,18,0,80203,18-24,other or not specified
296,M,50,5,89432,50-55,customer service
297,M,18,2,97211,18-24,artist
298,F,18,4,19010,18-24,college
299,M,25,12,97370,25-34,programmer
300,M,25,7,78664,25-34,executive
301,M,18,4,61820,18-24,college
302,M,18,4,4901,18-24,college
303,M,25,7,20006,25-34,executive
304,M,25,0,55414,25-34,other or not specified
305,F,18,0,55414,18-24,other or not specified
306,M,18,0,53051,18-24,other or not specified
307,M,50,16,90027,50-55,self-employed
308,M,25,2,10025,25-34,artist
309,M,25,4,16801,25-34,college
310,F,18,4,31207,18-24,college
311,M,18,4,31201,18-24,college
312,F,50,2,22207,50-55,artist
313,F,18,4,2138,18-24,college
314,F,56,9,46911,56+,homemaker
315,F,56,1,55105,56+,academic
316,M,56,13,90740,56+,retired
317,M,35,7,38555,35-44,executive
318,F,56,13,55104,56+,retired
319,F,50,6,33436,50-55,doctor
320,M,35,6,99516,35-44,doctor
321,M,18,4,55128,18-24,college
322,M,56,17,55117,56+,technician
323,M,45,12,53716,45-49,programmer
324,M,35,17,55106,35-44,technician
325,F,50,3,55112,50-55,clerical
326,M,50,11,25302,50-55,lawyer
327,M,35,18,55448,35-44,tradesman
328,M,35,12,80401,35-44,programmer
329,M,35,7,2115,35-44,executive
330,M,56,7,92065,56+,executive
331,M,25,7,55902,25-34,executive
332,M,50,1,55109,50-55,academic
333,M,35,2,55410,35-44,artist
334,F,56,2,55113,56+,artist
335,M,35,18,55434,35-44,tradesman
336,M,18,0,98765,18-24,other or not specified
337,M,18,19,80205,18-24,unemployed
338,M,35,7,55116,35-44,executive
339,M,50,7,80207,50-55,executive
340,F,25,3,28001,25-34,clerical
341,F,56,13,92119,56+,retired
342,M,18,12,55076,18-24,programmer
343,F,35,3,55127,35-44,clerical
344,M,35,14,75034,35-44,sales
345,M,25,12,94114,25-34,programmer
346,F,25,0,55110,25-34,other or not specified
347,F,56,1,55305,56+,academic
348,M,50,7,55110,50-55,executive
349,M,1,10,8035,Under 18,K-12 student
350,M,45,20,8035,45-49,writer
351,M,18,4,55105,18-24,college
352,M,18,4,60115,18-24,college
353,F,35,7,92625,35-44,executive
354,M,35,1,55117,35-44,academic
355,M,18,3,55107,18-24,clerical
356,M,56,20,55101,56+,writer
357,M,18,0,98103,18-24,other or not specified
358,F,56,1,20815,56+,academic
359,M,25,17,55128,25-34,technician
360,M,35,17,28208,35-44,technician
361,F,25,14,94115,25-34,sales
362,M,35,20,55407,35-44,writer
363,M,18,10,55419,18-24,K-12 student
364,F,35,1,46815,35-44,academic
365,F,18,4,2138,18-24,college
366,M,50,15,55126,50-55,scientist
367,M,50,12,55421,50-55,programmer
368,M,25,0,90293,25-34,other or not specified
369,M,35,1,55110,35-44,academic
370,M,18,17,22304,18-24,technician
371,M,18,4,2141,18-24,college
372,F,18,4,72227,18-24,college
373,F,25,2,55347,25-34,artist
374,F,35,14,55346,35-44,sales
375,M,25,2,55106,25-34,artist
376,M,35,1,80026,35-44,academic
377,M,25,17,55418,25-34,technician
378,F,18,0,55105,18-24,other or not specified
379,F,35,1,54822,35-44,academic
380,M,25,2,92024,25-34,artist
381,M,35,17,89015,35-44,technician
382,F,35,20,66205,35-44,writer
383,F,25,7,78757,25-34,executive
384,M,25,11,55075,25-34,lawyer
385,M,25,6,68131,25-34,doctor
386,M,25,0,55408,25-34,other or not specified
387,F,35,7,55111,35-44,executive
388,F,25,0,10021,25-34,other or not specified
389,M,25,6,68128,25-34,doctor
390,M,25,4,55405,25-34,college
391,M,45,11,22122,45-49,lawyer
392,M,18,7,20037,18-24,executive
393,M,35,17,55402,35-44,technician
394,M,18,0,55013,18-24,other or not specified
395,M,18,5,55104,18-24,customer service
396,M,25,1,56187,25-34,academic
397,M,35,17,22124,35-44,technician
398,M,25,17,55454,25-34,technician
399,F,35,6,55128,35-44,doctor
400,F,18,3,55422,18-24,clerical
401,M,18,0,55129,18-24,other or not specified
402,M,25,11,55427,25-34,lawyer
403,M,18,4,2138,18-24,college
404,M,18,4,10128,18-24,college
405,M,56,1,13077,56+,academic
406,M,25,20,55105,25-34,writer
407,M,18,17,89503,18-24,technician
408,M,25,11,2143,25-34,lawyer
409,M,18,12,55122,18-24,programmer
410,F,25,1,55417,25-34,academic
411,F,45,1,43214,45-49,academic
412,M,35,15,55117,35-44,scientist
413,M,25,11,55409,25-34,lawyer
414,M,25,0,55317,25-34,other or not specified
415,F,35,0,55406,35-44,other or not specified
416,M,45,14,55076,45-49,sales
417,F,25,0,50613,25-34,other or not specified
418,F,25,3,54016,25-34,clerical
419,M,18,3,55422,18-24,clerical
420,M,35,1,55406,35-44,academic
421,F,45,3,55125,45-49,clerical
422,M,56,17,55104,56+,technician
423,M,18,4,55455,18-24,college
424,M,25,17,55112,25-34,technician
425,M,25,12,55303,25-34,programmer
426,M,18,4,55455,18-24,college
427,M,35,12,55104,35-44,programmer
428,F,18,4,55455,18-24,college
429,M,18,0,54901,18-24,other or not specified
430,F,18,10,55306,18-24,K-12 student
431,M,18,10,55303,18-24,K-12 student
432,M,45,16,55306,45-49,self-employed
433,M,50,6,55115,50-55,doctor
434,F,45,3,98155,45-49,clerical
435,M,25,7,55125,25-34,executive
436,M,18,4,43023,18-24,college
437,M,35,17,55030,35-44,technician
438,M,18,11,53705,18-24,lawyer
439,M,35,14,55129,35-44,sales
440,M,56,1,32940,56+,academic
441,M,35,1,55127,35-44,academic
442,M,25,1,55105,25-34,academic
443,M,25,3,55421,25-34,clerical
444,M,56,0,55108,56+,other or not specified
445,M,45,12,55117,45-49,programmer
446,F,50,0,55042,50-55,other or not specified
447,F,45,11,55105,45-49,lawyer
448,M,25,17,80123,25-34,technician
449,M,25,7,85037,25-34,executive
450,M,45,1,24523,45-49,academic
451,M,56,13,54720,56+,retired
452,M,50,17,55117,50-55,technician
453,M,18,4,55102,18-24,college
454,M,25,20,55092,25-34,writer
455,F,35,2,55113,35-44,artist
456,M,35,0,55105,35-44,other or not specified
457,M,18,4,54703,18-24,college
458,M,50,16,55405-2546,50-55,self-employed
459,F,18,4,55105,18-24,college
460,M,45,18,55313,45-49,tradesman
461,M,50,7,55075,50-55,executive
462,M,18,16,55416,18-24,self-employed
463,M,25,7,55105,25-34,executive
464,F,18,4,55455,18-24,college
465,M,18,19,94523,18-24,unemployed
466,M,25,5,55405,25-34,customer service
467,F,35,3,55075,35-44,clerical
468,F,1,10,55082,Under 18,K-12 student
469,M,35,6,55122,35-44,doctor
470,F,1,10,55068,Under 18,K-12 student
471,M,35,7,8904,35-44,executive
472,M,35,0,55418,35-44,other or not specified
473,F,18,4,55112,18-24,college
474,M,25,17,92126,25-34,technician
475,F,25,2,55421,25-34,artist
476,M,35,0,55127,35-44,other or not specified
477,M,35,14,55410,35-44,sales
478,M,50,16,55113,50-55,self-employed
479,M,25,12,55042,25-34,programmer
480,F,18,4,55422,18-24,college
481,M,45,7,55115,45-49,executive
482,M,25,14,55305,25-34,sales
483,M,18,12,55105,18-24,programmer
484,F,1,10,55104,Under 18,K-12 student
485,M,56,7,55042,56+,executive
486,M,56,0,91367,56+,other or not specified
487,F,35,17,55082,35-44,technician
488,M,25,12,55107,25-34,programmer
489,M,18,4,55455,18-24,college
490,M,1,10,55345,Under 18,K-12 student
491,M,18,4,56043,18-24,college
492,M,25,12,55112,25-34,programmer
493,M,50,7,55016,50-55,executive
494,F,35,0,17870,35-44,other or not specified
495,M,18,10,55421,18-24,K-12 student
496,M,18,4,55455,18-24,college
497,F,25,17,55412,25-34,technician
498,M,35,17,55113,35-44,technician
499,F,25,1,55108,25-34,academic
500,F,18,2,55105,18-24,artist
501,M,25,2,55372,25-34,artist
502,M,35,6,55126,35-44,doctor
503,M,35,11,73120,35-44,lawyer
504,M,25,2,17003,25-34,artist
505,M,35,17,37815,35-44,technician
506,M,25,16,55103-1006,25-34,self-employed
507,F,25,0,55405,25-34,other or not specified
508,M,25,12,55418,25-34,programmer
509,M,25,2,55125,25-34,artist
510,M,18,12,55109,18-24,programmer
511,F,45,4,15232,45-49,college
512,M,35,0,55379,35-44,other or not specified
513,M,25,0,55119,25-34,other or not specified
514,M,25,2,55113,25-34,artist
515,M,25,1,55406,25-34,academic
516,F,56,14,55033,56+,sales
517,F,25,14,55408,25-34,sales
518,F,35,12,75240,35-44,programmer
519,F,35,14,55038,35-44,sales
520,F,35,20,55104,35-44,writer
521,M,56,7,55105,56+,executive
522,M,25,12,55124,25-34,programmer
523,M,50,7,55105,50-55,executive
524,M,18,0,91320,18-24,other or not specified
525,M,35,6,19027,35-44,doctor
526,M,45,17,94806,45-49,technician
527,F,25,2,11201,25-34,artist
528,F,18,17,83843,18-24,technician
529,M,35,12,92009,35-44,programmer
530,M,25,2,10019,25-34,artist
531,F,18,14,22206,18-24,sales
532,M,25,7,94301,25-34,executive
533,M,25,12,27514,25-34,programmer
534,M,25,15,55902,25-34,scientist
535,M,35,6,95370,35-44,doctor
536,M,25,20,1267,25-34,writer
537,M,45,14,7704,45-49,sales
538,M,56,16,95407,56+,self-employed
539,M,25,2,55103,25-34,artist
540,M,18,1,15213,18-24,academic
541,F,18,4,5849574,18-24,college
542,M,18,4,78705,18-24,college
543,M,25,5,55057,25-34,customer service
544,M,35,12,94538,35-44,programmer
545,M,35,17,1890,35-44,technician
546,F,25,0,37211,25-34,other or not specified
547,M,35,12,76109,35-44,programmer
548,F,35,16,96860,35-44,self-employed
549,M,25,6,53217,25-34,doctor
550,M,45,8,21559,45-49,farmer
551,M,35,20,55116,35-44,writer
552,M,50,18,23456,50-55,tradesman
553,M,25,2,94131,25-34,artist
554,M,25,12,94086,25-34,programmer
555,M,18,4,53213,18-24,college
556,F,25,9,37221,25-34,homemaker
557,M,56,1,30030,56+,academic
558,M,35,20,55108,35-44,writer
559,F,25,7,60422,25-34,executive
560,M,45,15,81335,45-49,scientist
561,F,18,14,64060,18-24,sales
562,M,35,20,48083,35-44,writer
563,M,25,4,53703,25-34,college
564,M,45,1,49419,45-49,academic
565,M,25,16,45242,25-34,self-employed
566,M,25,17,92122,25-34,technician
567,M,35,20,52570-9634,35-44,writer
568,F,50,17,19716,50-55,technician
569,F,18,4,97339,18-24,college
570,M,25,4,33314,25-34,college
571,M,50,5,95401,50-55,customer service
572,M,18,4,61801,18-24,college
573,F,35,2,98119,35-44,artist
574,M,25,19,90214,25-34,unemployed
575,M,25,12,92130,25-34,programmer
576,F,45,15,20910,45-49,scientist
577,M,35,0,2115,35-44,other or not specified
578,M,18,17,90064,18-24,technician
579,M,25,5,32839,25-34,customer service
580,M,1,10,8534,Under 18,K-12 student
581,M,50,14,73543,50-55,sales
582,M,18,4,67042,18-24,college
583,F,25,0,48067,25-34,other or not specified
584,F,25,0,94403,25-34,other or not specified
585,M,18,1,53703,18-24,academic
586,M,35,14,53092,35-44,sales
587,M,25,20,92649,25-34,writer
588,F,25,11,23220,25-34,lawyer
589,M,18,2,90210,18-24,artist
590,F,35,6,98032,35-44,doctor
591,M,25,0,76201,25-34,other or not specified
592,M,18,0,92103,18-24,other or not specified
593,F,50,1,91711,50-55,academic
594,F,56,13,60076,56+,retired
595,M,25,7,10019,25-34,executive
596,F,25,1,1950,25-34,academic
597,M,35,12,80206,35-44,programmer
598,M,35,7,95476,35-44,executive
599,M,50,6,53711,50-55,doctor
600,M,35,17,66209,35-44,technician
601,F,18,20,6320,18-24,writer
602,F,56,6,14612,56+,doctor
603,F,25,6,32256,25-34,doctor
604,M,45,17,32256,45-49,technician
605,F,18,4,44425,18-24,college
606,F,1,10,49507,Under 18,K-12 student
607,M,25,0,43614,25-34,other or not specified
608,M,18,4,18011,18-24,college
609,M,25,7,10012,25-34,executive
610,M,25,4,77025,25-34,college
611,M,35,0,20715,35-44,other or not specified
612,M,50,7,95020,50-55,executive
613,M,35,20,10562,35-44,writer
614,M,35,1,90024,35-44,academic
615,M,50,17,32951,50-55,technician
616,M,25,7,94115,25-34,executive
617,F,25,7,92117,25-34,executive
618,M,25,0,74105,25-34,other or not specified
619,F,18,1,94706,18-24,academic
620,M,18,0,13210,18-24,other or not specified
621,M,18,4,93560,18-24,college
622,M,25,0,92612,25-34,other or not specified
623,M,25,17,60555,25-34,technician
624,M,25,1,75207,25-34,academic
625,F,35,12,44106,35-44,programmer
626,M,18,4,77005,18-24,college
627,M,50,2,97210,50-55,artist
628,F,35,0,20715,35-44,other or not specified
629,F,1,10,48154,Under 18,K-12 student
630,F,35,14,80525,35-44,sales
631,M,35,17,28601,35-44,technician
632,M,45,17,7649,45-49,technician
633,M,25,17,94131,25-34,technician
634,F,1,10,49512,Under 18,K-12 student
635,M,56,17,33785,56+,technician
636,M,18,20,92055,18-24,writer
637,M,35,12,97132,35-44,programmer
638,M,25,6,77584,25-34,doctor
639,M,45,17,85202,45-49,technician
640,M,18,4,47406,18-24,college
641,F,35,0,55116,35-44,other or not specified
642,F,35,1,78155,35-44,academic
643,M,25,2,23188,25-34,artist
644,M,25,20,93704,25-34,writer
645,M,35,20,11215,35-44,writer
646,M,35,7,8505,35-44,executive
647,M,35,12,85224,35-44,programmer
648,F,25,12,94131,25-34,programmer
649,M,25,4,80526,25-34,college
650,M,25,17,49445,25-34,technician
651,M,35,7,20895,35-44,executive
652,M,18,20,12222,18-24,writer
653,M,56,13,92660,56+,retired
654,M,50,7,75023,50-55,executive
655,F,25,2,92629,25-34,artist
656,F,45,16,92106,45-49,self-employed
657,F,50,13,34691,50-55,retired
658,F,25,0,10021,25-34,other or not specified
659,F,25,0,28134,25-34,other or not specified
660,M,45,16,70507,45-49,self-employed
661,M,45,1,13114,45-49,academic
662,M,18,4,99163,18-24,college
663,F,25,7,12345,25-34,executive
664,M,35,18,74601,35-44,tradesman
665,M,18,2,13317,18-24,artist
666,F,18,0,8540,18-24,other or not specified
667,M,25,18,98438,25-34,tradesman
668,F,25,3,22042,25-34,clerical
669,M,25,17,30307,25-34,technician
670,M,25,12,30303,25-34,programmer
671,M,18,4,61761,18-24,college
672,M,35,7,46845,35-44,executive
673,M,25,20,10023,25-34,writer
674,M,25,17,22042,25-34,technician
675,M,25,20,2048,25-34,writer
676,M,18,16,55129,18-24,self-employed
677,M,50,2,94122,50-55,artist
678,M,25,0,34952,25-34,other or not specified
679,M,35,16,29681,35-44,self-employed
680,M,25,12,37013,25-34,programmer
681,M,35,7,30501,35-44,executive
682,M,25,4,27510,25-34,college
683,M,25,4,27514,25-34,college
684,M,25,4,27510,25-34,college
685,M,25,4,27514,25-34,college
686,M,18,4,27514,18-24,college
687,F,25,7,14136,25-34,executive
688,M,56,13,13407,56+,retired
689,F,50,0,48103,50-55,other or not specified
690,M,25,12,90717,25-34,programmer
691,M,35,11,96813,35-44,lawyer
692,F,25,0,85207,25-34,other or not specified
693,M,35,12,98103,35-44,programmer
694,M,18,4,76401,18-24,college
695,F,18,1,4240,18-24,academic
696,M,25,12,94114,25-34,programmer
697,F,50,6,97330,50-55,doctor
698,M,18,4,76401,18-24,college
699,M,18,0,73505,18-24,other or not specified
700,M,50,17,14650,50-55,technician
701,F,18,4,1002,18-24,college
702,M,35,7,90808,35-44,executive
703,F,56,1,44074,56+,academic
704,F,35,8,85712,35-44,farmer
705,M,25,4,48065,25-34,college
706,M,35,20,78664,35-44,writer
707,M,35,7,17740,35-44,executive
708,M,25,0,37042,25-34,other or not specified
709,M,18,0,92647,18-24,other or not specified
710,M,25,20,85207,25-34,writer
711,M,25,18,80521,25-34,tradesman
712,M,25,0,95136,25-34,other or not specified
713,M,35,7,79912,35-44,executive
714,M,18,4,76013,18-24,college
715,M,18,0,53715,18-24,other or not specified
716,M,18,4,98188,18-24,college
717,M,25,11,90211,25-34,lawyer
718,M,18,2,90211,18-24,artist
719,M,1,0,75070,Under 18,other or not specified
720,M,18,0,55129,18-24,other or not specified
721,F,35,9,97520,35-44,homemaker
722,M,25,12,55106,25-34,programmer
723,M,25,12,98027,25-34,programmer
724,M,50,13,90266,50-55,retired
725,M,56,11,8904,56+,lawyer
726,F,25,9,77449,25-34,homemaker
727,M,35,11,94061,35-44,lawyer
728,M,25,6,11598,25-34,doctor
729,M,35,12,85284,35-44,programmer
730,M,25,0,10580,25-34,other or not specified
731,M,45,3,55410,45-49,clerical
732,M,25,7,7030,25-34,executive
733,M,35,16,30034,35-44,self-employed
734,M,25,7,90078,25-34,executive
735,M,25,14,4240,25-34,sales
736,M,18,12,7070,18-24,programmer
737,M,1,19,53711,Under 18,unemployed
738,M,18,17,99205,18-24,technician
739,M,35,12,55803,35-44,programmer
740,M,25,14,24551,25-34,sales
741,M,25,5,44095,25-34,customer service
742,M,18,0,54758,18-24,other or not specified
743,F,1,2,60660,Under 18,artist
744,M,25,17,77007,25-34,technician
745,M,1,10,90004,Under 18,K-12 student
